episode_id,success,oracle_success,final_distance_m,termination_reason,goal_stop,goal_stop_steps,raw_stop_verdicts,near_decision_steps,route_complete_at_any_near_step,terminal_confirmed_at_any_near_step,goal_complete_at_any_near_step,instruction
244,1,1,1.7804341316223145,stop_requested,True,[7],"[""uncertain""]",2,True,True,True,Go through the door and turn left. Go to the left of the stairs. Stop in the doorway to the left of the white double doors. 
218,1,1,0.834014356136322,step_length_limit,False,[],[],6,True,False,False,Leave the bedroom and take a left in the hallway. Go straight and go into the room that is the second on the left. Stop in the doorway to the room. 
226,0,1,4.4954376220703125,step_length_limit,False,[],[],2,False,False,False,"Leave the bedroom and take a right in the hall, and walk straight. Take a left into the third entry way on your left and enter the bedroom. Stop in the doorway to the bedroom. "
371,0,0,5.117775917053223,step_length_limit,False,[],[],0,False,False,False,Walk through the dining room and kitchen air to the short flight of stairs. Walk up the short flight of stairs. Wait by the door at the top of the stairs. 
602,0,0,6.964275360107422,step_length_limit,False,[],[],0,False,False,False,Leave the bathroom and closet. Exit the bedroom and take a right. Enter the room on the right and stop in the doorway. 
1092,0,1,3.527477502822876,step_length_limit,False,[],[],6,True,False,False,Turn to face black door. Walk forward. Turn right to walk past stairs. Stop in front of door on right. 
748,0,0,15.737306594848633,step_length_limit,False,[],[],0,False,False,False,Go toward the house and through the sliding doors.  Turn right and stop by the dinning room table. 
116,0,1,4.521893501281738,step_length_limit,False,[],[],3,False,False,False,"you are in a closet, walk forward, turn right to walk out of closet into a bed room. turn right and see bath room, walk into bathroom and wait near the tub and sink. "
513,1,1,0.6236489415168762,stop_requested,True,[9],"[""allow""]",3,True,True,True,"Go into the living area with the fireplace. Stop in the area between the two white sofas, next to the entrance to the dining room. "
11,1,1,2.424595594406128,stop_requested,True,[10],"[""uncertain""]",1,True,True,True,Walk across the floor and wait the archway. 
70,0,0,14.871219635009766,step_length_limit,False,[],[],0,False,False,False,"Go through living room, through the door on the to the right, through the den, through the dining to, to the outdoor foyer. Stop before going outside. "
1087,1,1,2.6047184467315674,step_length_limit,False,[],[],8,False,True,False,Face the indoor grill and turn right. Walk straight through the door way.  Walk passed the microwave on the left. Walk through the doorway and stop beside the door. 
330,0,0,17.473268508911133,step_length_limit,False,[],[],0,False,False,False,Walk down the flight of stairs to the lower level. Walk into the room ahead with the tile mosaic on the floor. Walk around the corner through the open arched door to the right with rug on the ground. 
804,0,0,7.256547927856445,step_length_limit,False,[],[],0,False,False,False,Walk out of the room and past the stairs. Walk through the second hallway to the left. Turn left and walk into the room. Stop in front of the dining room table. 
265,0,0,10.832038879394531,step_length_limit,False,[],[],0,False,False,False,Walk towards oven and turn right through doorway. Go down hallway and turn left  and wait at bathroom. 
140,0,0,9.641629219055176,step_length_limit,False,[],[],0,False,False,False,Walk through the doorway to the right of the dining room table then go through the doorway by the flower pot.  Take the doorway directly left of the staircase and wait there. 
810,0,1,4.487095832824707,step_length_limit,False,[],[],5,True,False,False,"Leave the closet, and walk out of the bedroom. Stop once you exit the bedroom door. "
721,0,1,4.245627403259277,step_length_limit,False,[],[],2,False,False,False,Turn around and go to your left. Then go through the doorway on your left. Then turn right by the island. 
166,0,0,13.097829818725586,step_length_limit,False,[],[],0,False,False,False,"Go forward by the windows, and then stop by the lamp. "
643,0,0,3.5848498344421387,step_length_limit,False,[],[],0,False,False,False,Take a sharp left. Walk under the chandelier and wait next to the billiards table. 
403,0,0,7.023545265197754,stop_requested,True,[3],"[""allow""]",0,False,False,False,Turn right to walk through the right doorway. Walk through the left doorway. Stop at the entrance to the dining room. 
156,0,0,10.091948509216309,step_length_limit,False,[],[],0,False,False,False,Leave the bathroom.  Go through the door straight across the hall walk straight through the kitchen.  Turn left at the end of the bar turn left again and go in the room to the right stand in between the closet and the sink. 
670,0,0,10.041611671447754,step_length_limit,False,[],[],0,False,False,False,"Go straight into the door in front of you, turn left and then turn left again to go into the bathroom. Wait by the second sink. "
546,0,0,8.571137428283691,step_length_limit,False,[],[],0,False,False,False,"Turn right, and then make a right again entering the room that is on the right of the painting placed on the wall. Walk inside the room, and stop next to the mirror sliding closet doors. "
13,0,1,7.127989768981934,step_length_limit,False,[],[],1,False,False,False,Walk passed the dining table and continue towards the kitchen. Walk through the kitchen passed the counters and stove and stop near the sink. 
1085,0,0,4.274468898773193,stop_requested,True,[10],"[""allow""]",0,False,False,False,Exit the bathroom. Turn left and then turn right. Turn left and go into the other bathroom. Wait near the sink. 
821,0,1,5.748744010925293,step_length_limit,False,[],[],2,False,False,False,Exit the bedroom. Walk by the bathroom. Take the first left. Walk through the first door on the left. Stop by the sink. 
247,0,0,6.018189430236816,stop_requested,True,[4],"[""allow""]",0,False,False,False,"walk straight to hallway on right. turn right and follow hallway, at the end of hallway turn slight left and enter living room. Stop at couch. "
387,0,0,9.87631893157959,step_length_limit,False,[],[],0,False,False,False,"Turn to the right and go out the bathroom door.  Turn to the right a little more.  Go through the galley kitchen.  Walk between the stove and the island.  When you get past the island, stop, and wait. "
447,0,0,15.191995620727539,step_length_limit,False,[],[],0,False,False,False,Go down the walkway between the bar and the floor cabinets. Make a left at the door leading to the bedroom. 
1084,0,1,3.580765724182129,step_length_limit,False,[],[],4,False,False,False,"Exit the bathroom and enter the hall. Take a left in the hall and then enter another hall. Take a right at this hall, then take a left to enter another bathroom. "
362,0,0,11.927031517028809,step_length_limit,False,[],[],0,False,False,False,Walk through kitchen. Make left after spider plant. Wait at open door on left. 
1071,1,1,2.0212085247039795,step_length_limit,False,[],[],3,False,False,False,"Turn left and walk straight across the kitchen and through the storage area. Once out, turn right and then enter the last room on the left and stop in the doorway. "
743,0,0,13.246980667114258,step_length_limit,False,[],[],0,False,False,False,"Exit the room and turn left, head toward the kitchen and turn right. Go through the kitchen and out the door. Wait right at the bathroom door. "
42,0,0,13.279272079467773,step_length_limit,False,[],[],0,False,False,False,Walk towards the kitchen area. Keep walking along the kitchen area towards the doorway. Turn right and exit the kitchen area walking across the small living room area and into the bedroom to you left. 
715,0,0,18.155061721801758,step_length_limit,False,[],[],0,False,False,False,"walk through kitchen, turn right at bathroom, immediately left again and walk through doorway to bedroom and stop. "
40,0,0,7.218453407287598,step_length_limit,False,[],[],0,False,False,False,Walk into the kitchen area. Walk by the sink and oven. Walk straight into the hallway. turn right into the little room. Turn left and walk into the bedroom. Stop by the corner of the bed. 
439,0,0,14.895974159240723,step_length_limit,False,[],[],0,False,False,False,Turn around and walk through the door into the hallway. Turn left and go forward and stop next to the bed. Then turn left and go into the bathroom. 
655,0,0,9.034862518310547,step_length_limit,False,[],[],0,False,False,False,Leave the bedroom. Turn left into the hallway opposite the bookshelf. Go to the end of the hallway. Go left to the white couch. 
52,0,0,4.195639610290527,step_length_limit,False,[],[],0,False,False,False,"Take a right at the large clock and travel straight through the kitchen, when you see the thermostat on the wall you are right next to the washroom. "
