episode_id,instruction,stop_clause,rule_output,reason,fired,naive_last_landmark,agrees_with_naive,human_label,correct
7,Go straight past the pool. Walk between the bar and chairs.  Stop when you get to the corner of the bar.  That's where you will wait.,Stop when you get to the corner of the bar.,bar,ANAPHORA_PREV_REACH_CLAUSE,1,corner of the bar,0,,
11,Walk across the floor and wait the archway.,Walk across the floor and wait the archway.,archway,BARE_NP_missing_prep,1,archway,1,,
13,Walk passed the dining table and continue towards the kitchen. Walk through the kitchen passed the counters and stove and stop near the sink.,Walk through the kitchen passed the counters and stove and stop near the sink.,sink,LOC_near,1,sink,1,,
40,Walk into the kitchen area. Walk by the sink and oven. Walk straight into the hallway. turn right into the little room. Turn left and walk into the bedroom. Stop by the corner of the bed.,Stop by the corner of the bed.,bed,LOC_by,1,corner of the bed,0,,
42,Walk towards the kitchen area. Keep walking along the kitchen area towards the doorway. Turn right and exit the kitchen area walking across the small living room area and into the bedroom to you left.,Turn right and exit the kitchen area walking across the small living room area and into the bedroom to you left.,bedroom,MOTION_GOAL,1,bedroom,1,,
52,"Take a right at the large clock and travel straight through the kitchen, when you see the thermostat on the wall you are right next to the washroom.","Take a right at the large clock and travel straight through the kitchen, when you see the thermostat on the wall you are right next to the washroom.",washroom,MOTION_GOAL,1,washroom,1,,
70,"Go through living room, through the door on the to the right, through the den, through the dining to, to the outdoor foyer. Stop before going outside.",Stop before going outside.,,ABSTAIN_no_locative_prep,0,outdoor foyer,0,,
94,"Walk forward, take a left around the corner and walk all the way to the end of the hallway, and stop at the door before the bedroom.","Walk forward, take a left around the corner and walk all the way to the end of the hallway, and stop at the door before the bedroom.",door,LOC_at,1,bedroom,0,,
116,"you are in a closet, walk forward, turn right to walk out of closet into a bed room. turn right and see bath room, walk into bathroom and wait near the tub and sink.","turn right and see bath room, walk into bathroom and wait near the tub and sink.",,ABSTAIN_coordinated_sink,0,sink,0,,
140,Walk through the doorway to the right of the dining room table then go through the doorway by the flower pot.  Take the doorway directly left of the staircase and wait there.,Take the doorway directly left of the staircase and wait there.,doorway,ANAPHORA_SAME_CLAUSE,1,doorway directly left of the staircase,0,,
150,"Turn around and walk to the end of the bed. At the end of the bed turn right and walk to the hallway. Once at the entrance way, walk through the hallway to the next room.","Once at the entrance way, walk through the hallway to the next room.",room,MOTION_GOAL,1,next room,0,,
